His face was smooth|And cool as ice|And oh Louise!|He smelled|So nice|Burma-Shave|1935|x
Water heater|Out of kilter|Try the brushless|Whisker|Wilter|Burma-Shave|1935|x
Helps|Your budget|Hold it's ground|Half a dollar|Half a pound|Burma-Shave|1935|x
Dewhiskered|Kisses|Defrost|The|Misses|Burma-Shave|1935|x
With 200 kinds|From which to choose|2 million men|Prefer|To use|Burma-Shave|1935|x
Avoid the store|Which claims|You should|Buy something else|That's just as good|Burma-Shave|1935|x
If you think|She likes|Your bristles|Walk bare-footed|Through some thistles|Burma-Shave|1935|x
Grandpa's beard|Was stiff and coarse|And that's what|Caused his|Fifth divorce|Burma-Shave|1935|x
Cutie invited|Varsity hop|Guy full|Of whiskers|Party a flop|Burma-Shave|1935|x
It took years|To perfect|For you|A brushless cream|That's greaseless too|Burma-Shave|1935|x
I just joined|The young man said|A nudist camp|Is my face red?|No! I use|Burma-Shave|1935|x
20 miles per gal.|Says well-known car|To go 10,000|Miles per gal|By half-pound jar|Burma-Shave|1935|x
You know|Your onions|Lettuce suppose|This beets 'em all|Don't turnip your nose|Burma-Shave|1935|x
Tube|Immense|35 cents|Easy shaving|Low expense|Burma-Shave|1935|x
Keep well|To the right|Of the oncoming car|Get your close shaves|From the half-pound jar|Burma-Shave|1935|x
Be a modern|Paul Revere|Spread the news|From ear|To ear|Burma-Shave|1935|x
Whiskers long|Made Samson strong|But Samson's gal|She done|Him wrong|Burma-Shave|1935|x
At Xmas time|And birthdays too|We solve|Your problems right|For you -- give|Burma-Shave|1935|x
Half a buck|Half a pound|No substitute|Is ever found|For|Burma-Shave|1935|x
Enthusiastic user|Henry J. McLass|Spreads our product|On the lawn|When he cuts the grass|Burma-Shave|1935|x
The happy golfer|Find with glee|The shave|That suits him|To a tee|Burma-Shave|1935|x
Eeny-meeny|Miny-mo|Save your skin|Your time|Your dough|Burma-Shave|1935|x
Shaving brush|Is out of date|Use the|Razor's|Perfect mate|Burma-Shave|1935|x
If substitution|He should try|Just look that clerk|Right in the eye|And bellow|Burma-Shave|1935|x
Riot at|Drug store|Calling all cars|100 customers|99 jars|Burma-Shave|1936|x
To get|Away from|Hairy apes|Ladies jump|From fire escapes|Burma-Shave|1936|x
Special treatment|Every hair|Holds it up|And cuts|It square|Burma-Shave|1936|x
Your razor|Floats thru|The hair|With the|Greatest of ease|Burma-Shave|1936|x
Ed's face|Is rough|And rugged|Ed's wife|Doesn't hug Ed|Burma-Shave|1936|x
Shaving brush|And soapy smear|Went out of|Style with|Hoops my dear|Burma-Shave|1936|x
To every man|His shave|Is best|Until he makes|The final test|Burma-Shave|1936|x
Golfers!|Hole in one|Is quite a feat|Unless that hole|Is in your meat|Burma-Shave|1936|x
If you|And whiskers|Do hobnob|Some sailor gob|Will steal your squab|Burma-Shave|1936|x
If you're just|An average man|Wanting to look|The best you can|Use|Burma-Shave|1936|x
The cream|Preserves|Pa's razor blade|The jar preserves|Ma's marmalade|Burma-Shave|1936|x
Smith Brothers|Would look immense|If they'd just|Cough up 50 cents|For half pound jar|Burma-Shave|1936|x
Jimmie said a naughty word|Jimmie's mother overheard|Soapsuds? No!|He preferred|Burma-Shave|1936|x
Congressman Pipp|Lost the election|Babies he kissed|Had no protection|To win -- use|Burma-Shave|1936|x
Let's give the|Clerk a hand|Who never|Palms off|Another brand|Burma-Shave|1936|x
His tenor voice|She thought divine|Till whiskers|Scratched|Sweet Adeline|Burma-Shave|1936|x
Old McDonald|On the farm|Shaved so hard|He broke his arm|Then he bought|Burma-Shave|1936|x
As you journey|Down the years|Your mirror is|The glass that cheers|If you use|Burma-Shave|1936|x
Cheer cheer|The gang's|All here|Riding along|Three million strong for|Burma-Shave|1936|x
Hear about|The jolly tar|It smelled so good|He ate|A jar|Burma-Shave|1936|x
Cooties love|Bewhiskered places|Cuties love the|Smoothest faces|Shaved by|Burma-Shave|1936|x
Free!  Free!!|A trip|To Mars|For 900|Empty jars|Burma-Shave|1936|x
All these years|Your skin|Has dried|Why not moisten|Up your hide|Burma-Shave|1936|x
Holler!|Half a pound|For half a dollar|Isn't that|A cheerful earful?|Burma-Shave|1937|x
Drive|With care|Be alive|When you|Arrive|Burma-Shave|1937|x
Week-old beard|So masked his face|His bull dog|Chased him|Off the place|Burma-Shave|1937|x
Little Willie|Modern soul|Busted Papa's|Brush and bowl|Nice work Willie|Burma-Shave|1937|x
'Mid rising|Taxes|Soaring rents|Still half a pound|For fifty cents|Burma-Shave|1937|x
Substitutes!|Smooth guys sell 'em|Easy marks use 'em|Well groomed men|Always refuse 'em|Burma-Shave|1937|x
Every|Sheba|Wants a sheik|Strong of muscle|Smooth of cheek|Burma-Shave|1937|x
If HER whiskers|Scratched YOUR cheek|You would|Send her out|To seek|Burma-Shave|1937|x
The cannibals|Took just one view|And said|He looks too nice|To stew|Burma-Shave|1937|x
You've laughed|At our signs|For many a mile|Be a sport|Give us a trial|Burma-Shave|1937|x
If harmony|Is what|You crave|Then get|A tuba|Burma-Shave|1937|x
The burma girls|In Mandalay|Dunk bearded lovers|In the bay|Who don't use|Burma-Shave|1937|x
Kids!  Attention!|44 best jingles|Used so far|In jingle book|With tube or jar|Burma-Shave|1937|x
Men|Who've tested|Every brand|Are just the ones|Who now demand|Burma-Shave|1937|x
It's in|The bag|Of every man|Who travels|Lightly as he can|Burma-Shave|1937|x
My neck was sore|In front before|And also|Sore behind|Before|Burma-Shave|1937|x
The crowd|You see|Around that store|Are Burma-Shavers|Buying more|Burma-Shave|1937|x
Fingers were made|Before brushes --|Use 'em|They're much safer|You can't lose 'em|Burma-Shave|1937|x
No pulling|At the whisker base|A soothing film|Protects|Your face|Burma-Shave|1937|x
From Saskatoon|To Alabam'|You hear men praise|The shave|What am|Burma-Shave|1937|x
Stomach ache!|Doctor --|Toothache!|Dentist --|Whiskers!|Burma-Shave|1937|x
Bathroom shelf|Surprises me|From shaving clutter|It's now free|I'm using|Burma-Shave|1937|x
Salesmen, tourists|Camper-outers|All you other|Whisker-sprouters|Don't forget your|Burma-Shave|1937|x
Paper hangers|With the hives|Now can|Shave with|Carving knives|Burma-Shave|1937|x
Romances are wrecked|Before they begin|By a hair|On the coat|Or a lot on the chin|Burma-Shave|1937|x
"They're off"|He cried|And felt his chin|'Twas just another|Easy win for|Burma-Shave|1938|x
Fire!  Fire!|Keep cool|Be brave|Just grab|Your pants and|Burma-Shave|1938|x
A silky cheek|Shaved smooth|And clean|Is not obtained|With a mowing machine|Burma-Shave|1938|x
Cheek to cheek|They meant to be|The lights went out|And so did he|He needed|Burma-Shave|1938|x
Henry the Eighth|Prince of friskers|Lost five wives|But kept|His whiskers|Burma-Shave|x
Don't take|A curve|At 60 per|We hate to lose|A customer|Burma-Shave|1938|x
If you have|A double chin|You've two|Good reasons|To begin using|Burma-Shave|1938|x
On a highway ad|He spied it|Bough a jar|Now glad he|Tried it|Burma-Shave|1938|x
Ring out the old|Ring in the new|What good can|Shaving|Brushes do?|Burma-Shave|1938|x
Say, big boy|To go|Thru life|How'd you like|A whiskered wife?|Burma-Shave|1938|x
Are you|An even-tempered guy?|Mad all|The time?|Better try|Burma-Shave|1938|x
The cream|One hears|The most of now|Comes from a jar|Not from a cow|Burma-Shave|1938|x
The time|To start|A real dispute|Is when you're|Offered a substitute|Burma-Shave|1938|x
Other things have|Gone sky high|Half a dollar|Still will buy|Half pound jar|Burma-Shave|1938|x
Before I tried it|The kisses|I missed|But afterward -- Boy!|The misses I kissed|Burma-Shave|1938|x
No lady likes|To dance|Or dine|Accompanied by|A porcupine|Burma-Shave|1938|x
In every|Half a pound|My boy|You get a ton|Of Shaving joy|Burma-Shave|1938|x
Here's something|That could|Even soak|The whiskers off|A radio joke|Burma-Shave|1938|x
Rip Van Winkle|Said he'd rather|Snooze for years|Than shave|With lather|Burma-Shave|1938|x
After one trial|You'll want more|At the next|Good drug store|15 for 25 cents|Burma-Shave Blades|1938|x
Here's the winning|Shaving team|The perfect blade|The perfect cream|Burma-Shave Blades|Burma-Shave|1938|x
Sharpest blade|Ever made|Comfort speed|Guaranteed|15 for 25 cents|Burma-Shave Blades|1938|x
Hardly a driver|Is now alive|Who passed|On hills|At 75|Burma-Shave|1939|x
Darling I am|Growing old|Nonsense!|Do as you|Are told -- get|Burma-Shave|1939|x
A whiskered gent|At a bazaar|Paid for|A kiss|But got a jar|Burma-Shave|1939|x
Drive like|A railroad engineer|Take it easy|When the road's|Not clear|Burma-Shave|1939|x
Mirror on|The bathroom wall|What's the|Smoothest shave|Of all?|Burma-Shave|1939|x
Try a tube|The cream|That's in it|Is making friends|A man a minute|Burma-Shave|1939|x
Soap's|That irritate|Their mugs|Turn jolly gents|To jitterbugs|Burma-Shave|1939|x
Past|Schoolhouses|Take it slow|Let the little|Shavers grow|Burma-Shave|1939|x
Mom and Pop|Are feeling gay|Baby said|As plain|As day|Burma-Shave|1939|x
If you dislike|Big traffic fines|Slow down|'Till you|Can read these signs|Burma-Shave|1939|x
Shiver my timbers|Said Captain Mack|We're ten knots out|But we're turning back|I forgot my|Burma-Shave|1939|x
Special seats|Reserved in hades|For whiskered guys|Who scratch|The ladies|Burma-Shave|1939|x
A peach|Looks good|With lots of fuzz|But man's no peach|And never wuz|Burma-Shave|1939|x
Spread it on|And lightly too|Shave it off|That's all|You're through|Burma-Shave|1939|x
Shaving brushes|Soon will|Be trimmin'|Those screwy hats|We see on wimmin|Burma-Shave|1939|x
I proposed|To Ida|Ida refused|Ida won my Ida|If Ida used|Burma-Shave|1939|x
The queen|Of hearts|Now loves the knave|The king|Ran out of|Burma-Shave|1939|x
At crossroads|Don't just|Trust to luck|The other car|May be a truck|Burma-Shave|1939|x
Christmas comes|But once|A year|One swell gift|That's always here|Burma-Shave|1939|x
Careless driving|Soon we hope|Will go|The way|Of brush and soap|Burma-Shave|1939|x
Careless|Bridegroom|Dainty bride|Scratchy whiskers|Homicide|Burma-Shave|1939|x
Good to the last strop|Burma-Shave|1939 special Series|x
Covers a multitude of chins|Burma-Shave|1939 special Series|x
Nix on nicks|Burma-Shave|1939 special Series|x
For faces that go places|Burma-Shave|1939 special Series|x
Don't put it off -- Put it on|Burma-Shave|1939 special Series|x
Shave faster without disaster|Burma-Shave|1939 special Series|x
Makes good because it's made good|Burma-Shave|1939 special Series|x
Takes the "H" out of shave|Burma-Shave|1939 special Series|x
No digging in on tender skin|Burma-Shave|1939 special Series|x
Makes misses Mrs.|Burma-Shave|1939 special Series|x
Brush?  No!  Too slow|Burma-Shave|1939 special Series|x
Equip your grip|Burma-Shave|1939 special Series|x
No pushee  No pully  Smooth shavy  Feel bully|Burma-Shave|1939 special Series|x
Beard unruly -- Meet yours truly|Burma-Shave|1939 special Series|x
Aid the blade|Burma-Shave|1939 special Series|x
Those who click -- pick|Burma-Shave|1939 special Series|x
Better shaving at a saving|Burma-Shave|1939 special Series|x
Start the day the modern way|Burma-Shave|1939 special Series|x
50% quicker  100% slicker|Burma-Shave|1939 special Series|x
You'll enthuse as you use|Burma-Shave|1939 special Series|x
Look "spiffy" in a "jiffy"|Burma-Shave|1939 special Series|x
No sooner spread than done|Burma-Shave|1939 special Series|x
Saves your jack -- Holds your Jill|Burma-Shave|1939 special Series|x
No sooner spread than done|Burma-Shave|1939 special Series|x
Romance never starts from scratch|Burma-Shave|1939 special Series|x
Try our whisker licker|Burma-Shave|1939 special Series|x
Join the millions using soothing|Burma-Shave|1939 special Series|x
A word to the wives is sufficient|Burma-Shave|1939 special Series|x
Just spread, then pat -- Now shave, that's that!|Burma-Shave|1939 special Series|x
Hot tip, pal -- More smiles per gal|Burma-Shave|1939 special Series|x
Won by a hair that wasn't there|Burma-Shave|1939 special Series|x
Pays dividends in lady friends|Burma-Shave|1939 special Series|x
Is your face her misfortune?  Try|Burma-Shave|1939 special Series|x
If getting up gets you down -- Use|Burma-Shave|1939 special Series|x
When you shop for your pop|Burma-Shave|1939 special Series|x
Once a day the easy way|Burma-Shave|1939 special Series|x
No trick to click if quick to pick|Burma-Shave|1939 special Series|x
Other days -- other ways.  Nowadays|Burma-Shave|1939 special Series|x
Deluxe de looks with|Burma-Shave|1939 special Series|x
He's nifty and thrifty -- looks 30 at 50|Burma-Shave|1939 special Series|x
Best reference -- public preference|Burma-Shave|1939 special Series|x
Economize with this size|Burma-Shave|1939 special Series|x
A better buy -- why not try|Burma-Shave|1939 special Series|x
Right about face|Burma-Shave|1939 special Series|x
Said Juliet|To Romeo|If you|Won't shave|Go homeo|Burma-Shave|1940|x
When you drive|If caution ceases|You are apt|To rest|In pieces|Burma-Shave|1940|x
All little rhyming|Jokes aside|Don't be content|Until you've|Tried|Burma-Shave|1940|x
You can't reach 80|Hale and hearty|By driving 80|Home from|The party|Burma-Shave|1940|x
Substitutes and|Imitations|Send 'em to|Your wife's|Relations|Burma-Shave|1940|x
He married Grace|With scratchy face|He only|Got one day|Of Grace!|Burma-Shave|1940|x
College cutie|Pigskin hero|Bristly Kiss|Hero|Zero|Burma-Shave|1940|x
Buy a jar|Take it from me|There's so|Much in it|The last half's free|Burma-Shave|1940|x
He's the boy|The gals forgot|His line|Was smooth|His chin was not|Burma-Shave|1940|x
Put your brush|Back on the shelf|The darn thing|Needs a|Shave itself|Burma-Shave|1940|x
It's best for|One who hits|The bottle|To let another|Use the throttle|Burma-Shave|1940|x
Don't pass cars|On curve or hill|If the cops|Don't get you|Morticians will|Burma-Shave|1940|x
With glamour girls|You'll never click|Bewhiskered|Like a|Bolshevik|Burma-Shave|1940|x
A scratchy chin|Like bright|Pink socks|Puts any romance|On the rocks|Burma-Shave|1940|x
Always remember|On any trip|Keep two things|Within your grip|Your steering wheel and|Burma-Shave|1940|x
Give hand signals|To those behind|They don't know|What's in|Your mind|Burma-Shave|1940|x
The bearded devil|Is forced|To dwell|In the only place|Where they don't sell|Burma-Shave|1940|x
Substitutes|Would irk a saint|You hope they are|What you know|They ain't|Burma-Shave|1940|x
Prickly pears|Are picked|For pickles|No peach picks|A face that prickles|Burma-Shave|1940|x
Guys whose eyes|Are in|Their backs|Get halos crossing|Railroad tracks|Burma-Shave|1940|x
A Christmas hug|A birthday kiss|Awaits|The woman|Who gives this|Burma-Shave|1940|x
Just spread|Then pat|Now shave|That's|That|Burma-Shave|1940|x
Here's|A good deed|For a scout|Tell your dad|All about|Burma-Shave|1941|x
They missed|The turn|Car was whizz'n|Fault was her'n|Funeral his'n|Burma-Shave|1941|x
