\\ec\\c\\2Befehl    |LV|Anzeigetext fuer ?  |Azeigetext fuer H                 Gateway-5
§%§L=>99§%§SYSOP\\3  ISDNLAST|99|Anzeige ISDN-Prot.  |Anzeige des ISDN-Protokolles (letzte 25 Anr
§%§L=>99§%§SYSOP\\3  ISDNPROT|99|Anzeige ISDN-Prot.  |Anzeige des ISDN-Protokolles               
§%§L=>02§%§BV\\3     I_DEL|02|Geloeschte Mails anz|Anzeigen der geloeschten Eintraege  [parame
§%§L=>20\\3         K|20|Kill-Kommando       |Loeschen von Eintraegen              [param
\\3        KA|00|Kalender anzeigen   |Kalender fuer den aktuellen Monat anzeigen 
§%§L=>10\\3        KE|10|Kennwort aendern    |Kennwort fuer den Login aendern            
\\3         L|00|Lesen               |Eintraege lesen                      [param
\\3       LEV|00|Levelinfo's         |Informationen ueber Level und Farben       
\\3        LI|00|List Inhalt         |Inhalt anzeigen                      [param
§%§L=>20\\3   LISTMSG|20|MSG-Liste anzeigen  |Listet MSG in Postfächern             [user
§%§L=>20\\3       LOE|20|Loesche Eintraege   |Eintraege loeschen                   [param
§%§L=>99§%§SYSOP§%§GR_1§%§GR_2§%§GR_3§%§GR_4§%§GR_5§%§VFLAG\\3LOESCHPROT|99|Brett-OP-Loesch-Prot|Anzeige wer Sysop-Eintraege geloescht hat!M
\\3       LOG|00|Logoff              |Box verlassen, Verbindung trennen          
\\3         M|00|Menu-System         |Menu-System starten (Befehlssteuerung verla
§%§L=>20\\3      MAIL|20|eMail schreiben     |eMail versenden (Empfänger wird abgefragt) 
§%§L=>99§%§SYSOP§%§GR_1§%§GR_2§%§GR_3§%§GR_4§%§GR_5§%§VFLAG\\3MAIL_FRAGE|99|eMail-File da?      |Ist eMail-File 'ausgang.dat' da?           
§%§L=>99§%§SYSOP\\3 MAIL_PROT|99|Anzeige eMail_Prot  |Anzeige des eMail_Protokolles vo Mail_Sort 
§%§L=>99§%§SYSOP§%§GR_1§%§GR_2§%§GR_3§%§GR_4§%§GR_5§%§VFLAG\\3 MAIL_RAUS|99|eMail-File senden   |eMail-File 'ausgang.dat' versenden         
§%§L=>99§%§SYSOP§%§GR_1§%§GR_2§%§GR_3§%§GR_4§%§GR_5§%§VFLAG\\3 MAIL_REIN|99|eMail-File empfangen|Mail-File 'eingang.dat' empfangen & einsort
§%§L=>99§%§SYSOP§%§GR_1§%§GR_2§%§GR_3§%§GR_4§%§GR_5§%§VFLAG\\3       MAP|99|GAME: Landkarte     |Azeige der Landarte für das Tradinggame    
§%§L=>99§%§SYSOP\\3      MAPF|99|Rauswurf Std/C-Weste|Rauswurf (durchbricht Standard und C-Weste)
§%§L=>01\\3       MEM|01|CheckMem starten    |CheckMem (Speicheranzeige/Kontrolle) starte
§%§L=>90§%§COSYS§%§GR_1§%§GR_2§%§GR_3§%§GR_4§%§GR_5§%§VFLAG\\3   MONITOR|90|Port monitoren      |Einen anderen Port monitoren/beobachten [po
§%§L=>98§%§GR_1§%§GR_2§%§GR_3§%§GR_4§%§GR_5\\3  MONITOR2|98|Port monitoren      |Einen anderen Port monitoren/beobachten [po
§%§L=>02\\3       MSG|02|MSG schreiben       |MSG schreiben       [-an] [-aus] [-stop] [-
§%§L=>02\\3    MSGALL|02|MSG an alle (Online)|MSG an alle User, die gerade Online sein   
§%§L=>02\\3     MSGAN|02|MSG einschalten     |Den Empfang von MSG anschalten             
§%§L=>02\\3    MSGAUS|02|MSG-Empfang aus     |MSG-Empfang ausschalten                    
§%§L=>02\\3    MSGLOG|02|MSG bei Login senden|MSG senden wenn ein neuer User einloggt    
§%§L=>95§%§SYSOP\\3     MSGRB|95|MSG an alle User/Box|MSG an alle User der Box senden            
§%§L=>80\\3    MSGSND|80|SND-Text-Liste      |Liste der verfügbaren MSG -SNDxx-Texte     
